int min 1,int min 2,int min 3,int min 4,int min 5,int min 6,int min 7,int min 8,int min 9,int min 10,int min 11,int min 12,int min 13,int min 14,int min 15,int min 16,int min 17,int min 18,int min 19,int min 20,int min 21,int min 22,int min 23,int min 24,int min 25,int min 26,int min 27,int min 28,int min 29,int min 30,int min 31,int min 32,int min 33,int min 34,int min 35,int min 36,int min 37,int min 38,int min 39,int min 40,int min 41,int min 42,int min 43,int min 44,int min 45,int min 46,int min 47,int min 48,int min 49,int min 50,int min 51,int min 52,int min 53,int min 54,int min 55,int min 56,int min 57,int min 58,int min 59,int min 60
0.9455003514150275 - 0.00030763925583058617im,0.9454781204478103 - 0.0003262657294485277im,0.945455859998001 - 0.00034489784356503433im,0.945433651200853 - 0.0003635586755294993im,0.9454114112925637 - 0.000382181009669714im,0.9453891942960222 - 0.00040077067863792504im,0.9453669320723002 - 0.00041940138210875644im,0.94534464746343 - 0.0004380049531007604im,0.9453224213912699 - 0.0004566809560854616im,0.9453001461388723 - 0.00047530584161361303im,0.9452778776348398 - 0.000493966334413785im,0.9452555991184936 - 0.0005126051082979559im,0.9452333612017348 - 0.0005312049734856534im,0.9452111063488303 - 0.0005498420904556943im,0.9451888259027397 - 0.0005684983479788644im,0.9451665422094163 - 0.0005871712367138508im,0.9451442585619306 - 0.0006057584668965256im,0.9451219801905245 - 0.0006244485408149616im,0.9450997174065405 - 0.0006430921187952424im,0.94507741366079 - 0.0006617164568192204im,0.9450550939282685 - 0.00068039922416845im,0.9450327908413682 - 0.0006990152027787902im,0.9450104954085402 - 0.0007176592573247351im,0.9449881712930486 - 0.0007363199579217476im,0.9449658670798537 - 0.0007549469205144121im,0.9449435631396237 - 0.0007735665199086105im,0.94492128908064 - 0.000792208680967278im,0.9448989561590727 - 0.0008108717386178154im,0.9448766902003909 - 0.0008294788384923496im,0.9448543486081988 - 0.0008481314298340265im,0.9448319917034842 - 0.0008667641801867222im,0.944809682815684 - 0.0008854071661434087im,0.9447873826234672 - 0.0009040269145393039im,0.9447650345918991 - 0.0009226488980525565im,0.9447426835602947 - 0.0009412585923430739im,0.9447203590724198 - 0.0009598996797771708im,0.9446980119668017 - 0.000978552970817293im,0.9446757321322935 - 0.0009972184749683516im,0.9446533864576078 - 0.0010158558164607627im,0.9446310550669214 - 0.0010344789787578165im,0.9446087518792258 - 0.001053204145006701im,0.9445864133150397 - 0.0010718264791579487im,0.9445651170442239 - 0.001089624503312186im,0.9445647642657587 - 0.0010898999115608414im,0.9445647584258856 - 0.0010898952243523971im,0.9445647763583747 - 0.0010899167673827208im,0.9445647715177516 - 0.001089911002147269im,0.9445647525525396 - 0.0010898894196386144im,0.9445647578204591 - 0.0010898964499810918im,0.94456477391565 - 0.0010899132329004102im,0.9445647684164404 - 0.0010899077020873605im,0.9445647461898034 - 0.0010898840191382799im,0.9445647476339333 - 0.0010898865985802654im,0.9445647559382798 - 0.0010898960030287653im,0.9445647591315682 - 0.0010899007766138143im,0.9445647821957692 - 0.0010899263689706658im,0.9445647827070918 - 0.0010899256667724823im,0.9445647832858631 - 0.0010899259868617566im,0.9445647841688448 - 0.001089927200691564im,0.9445647850499688 - 0.0010899284346606226im
0.9466026441116114 - 0.0001815511904778703im,0.94659046524527 - 0.00019083021063763026im,0.946578264653095 - 0.0002000945195090962im,0.9465660917479417 - 0.00020936939102905332im,0.9465539079046661 - 0.00021864616810614914im,0.9465417066262466 - 0.00022791567565773931im,0.9465295286625467 - 0.00023722482872067655im,0.9465173460697215 - 0.0002464983122921496im,0.9465051375151752 - 0.0002557793563078021im,0.9464929270016161 - 0.0002650666435622107im,0.9464807616606268 - 0.00027436208921528826im,0.9464685539301755 - 0.00028363247398917253im,0.9464563446555848 - 0.0002929214375555216im,0.9464441658271179 - 0.0003022082472110825im,0.9464319688951394 - 0.00031149451330395717im,0.946419763975525 - 0.00032080148446616793im,0.9464075807103253 - 0.00033005315054733606im,0.9463954066420739 - 0.0003393328318205524im,0.9463831910664103 - 0.0003486183182229228im,0.9463709753320024 - 0.00035792605806914005im,0.9463587718238383 - 0.00036721881148614184im,0.9463465592237479 - 0.0003764951038256711im,0.9463343486363089 - 0.00038578631318252445im,0.946322146332203 - 0.00039502942377045826im,0.9463099324442835 - 0.00040429832198845547im,0.9462977265055077 - 0.00041355585403732954im,0.9462855420980947 - 0.0004228276069645647im,0.9462733322520889 - 0.00043212392937599735im,0.9462611395493018 - 0.0004413918822610725im,0.946248902552552 - 0.0004506616244424727im,0.946236688466526 - 0.00045995171703244243im,0.9462244955286102 - 0.0004692183443567293im,0.946212303033284 - 0.00047848440696189506im,0.9462000848294857 - 0.0004877470643533362im,0.9461878869798888 - 0.0004970342724727122im,0.9461756828274929 - 0.0005063155864284116im,0.9461634644393475 - 0.0005156047358473743im,0.9461512599426251 - 0.0005248626075611436im,0.9461390375260555 - 0.0005341529182623237im,0.9461268282736341 - 0.0005434516842412356im,0.9461146110469187 - 0.0005527307833689343im,0.9461023486614594 - 0.0005620084550834479im,0.9460907232233556 - 0.000570856104445089im,0.9460903916848161 - 0.0005711137040210492im,0.9460904044384473 - 0.0005711292671716915im,0.9460903998655881 - 0.0005711264728947038im,0.9460904103389686 - 0.0005711373079968047im,0.946090409128185 - 0.0005711344958689358im,0.9460904170653004 - 0.0005711439505816049im,0.9460904422678715 - 0.000571171173242075im,0.9460904515112103 - 0.00057118176150816im,0.946090455613569 - 0.0005711854124129758im,0.9460904623325466 - 0.0005711941090231823im,0.9460904643681689 - 0.0005711962785955011im,0.9460904736987497 - 0.0005712075940981573im,0.9460904581600302 - 0.0005711910985135966im,0.9460904438104701 - 0.0005711743363888035im,0.9460904468846982 - 0.0005711768771664951im,0.946090438975452 - 0.0005711685990904963im,0.946090450206476 - 0.0005711811184349894im
0.9477318779563937 - 9.097036981009717e-5im,0.9477232194064323 - 9.699545072498074e-5im,0.9477145537447581 - 0.00010301256923128859im,0.9477058907816303 - 0.00010903853342642442im,0.9476972306430813 - 0.00011507659742506525im,0.947688565851339 - 0.00012110210518437628im,0.9476799100402002 - 0.0001271416902424471im,0.9476712588057155 - 0.0001331616944128066im,0.9476626016786392 - 0.0001391929583183694im,0.9476539311154372 - 0.0001452271607068888im,0.9476452722745828 - 0.00015125823480056534im,0.9476366066747164 - 0.00015728437072560093im,0.9476279404128286 - 0.00016332273491739526im,0.9476192761937938 - 0.000169346210765721im,0.9476105985481238 - 0.00017536802691297325im,0.9476019354973153 - 0.0001814020468463033im,0.9475932741370697 - 0.00018741293193929345im,0.9475846120284293 - 0.00019344011083533436im,0.9475759371367783 - 0.00019947315521612436im,0.9475672524266576 - 0.00020550509046539007im,0.9475585841214502 - 0.0002115368391758081im,0.9475499050983921 - 0.00021755205714592689im,0.9475412235472765 - 0.00022357426828699804im,0.9475325467551825 - 0.00022959939728899273im,0.9475238616065769 - 0.00023561674248314215im,0.9475151876571765 - 0.00024164075397044383im,0.9475065209662328 - 0.0002476567494020062im,0.9474978461856928 - 0.0002536863544157405im,0.9474891804489203 - 0.0002597115262117824im,0.9474804889000971 - 0.00026573221701474057im,0.9474718057546491 - 0.00027175791453357216im,0.9474631340418977 - 0.00027776484491015834im,0.9474544518832229 - 0.00028378448698541im,0.9474457704216046 - 0.00028980584770828374im,0.9474370932298495 - 0.00029583398890745566im,0.9474284160895076 - 0.0003018587247768472im,0.9474197239152264 - 0.00030788566378488186im,0.9474110401439026 - 0.0003138999329478847im,0.9474023564223685 - 0.00031993540570933205im,0.9473936695370665 - 0.00032595572312249836im,0.947384986108827 - 0.00033198483579544854im,0.9473762884514231 - 0.00033801976505900633im,0.9473679539633489 - 0.00034379454069088087im,0.9473677765609495 - 0.00034391291265048983im,0.9473677834410809 - 0.0003439225509105143im,0.9473677875544027 - 0.00034392880997921837im,0.947367787903703 - 0.0003439289766042873im,0.9473677832220471 - 0.0003439222143773761im,0.9473677842953405 - 0.0003439239330214344im,0.9473677885045706 - 0.0003439293432236909im,0.9473677920759858 - 0.00034393422541635106im,0.9473677875308707 - 0.0003439279484143251im,0.9473677931881024 - 0.00034393587170734413im,0.9473677919918512 - 0.0003439341220761261im,0.9473677956376975 - 0.0003439394185679866im,0.9473677928299635 - 0.000343935864596603im,0.9473677881360235 - 0.00034392930828323984im,0.9473677844237302 - 0.00034392415117292954im,0.9473677841521999 - 0.0003439239753338657im,0.9473677869662159 - 0.00034392770872760547im
0.9566901117178309 - 0.0002539380773923119im,0.9566498120120045 - 0.00028924340453634887im,0.9566095910262369 - 0.000324500315023445im,0.9565694254706036 - 0.00035975396614302944im,0.9565291264024873 - 0.0003951377337871207im,0.9564888533524611 - 0.0004304562696957694im,0.9564487089093102 - 0.00046583261246107725im,0.9564085501976722 - 0.0005010821634665633im,0.9563683846939506 - 0.0005363550057998964im,0.9563280906301408 - 0.000571661185052599im,0.9562878202746327 - 0.0006069776607097326im,0.9562475388462747 - 0.0006422465357044522im,0.956207289606918 - 0.0006775661961987165im,0.9561670373645373 - 0.0007128246137460071im,0.9561266401173916 - 0.0007480734710217088im,0.956086392899872 - 0.0007833693786964163im,0.9560460975788491 - 0.0008185313350363489im,0.9560058602014091 - 0.0008537992042494598im,0.9559655370175845 - 0.0008891108378674286im,0.9559251638537246 - 0.0009243773462940712im,0.955884896341116 - 0.000959651045060219im,0.9558445525100951 - 0.0009948249854654964im,0.9558041795932188 - 0.0010301006806978496im,0.9557637612419851 - 0.0010654175325938296im,0.955723270117615 - 0.001100611135314418im,0.9556829777284837 - 0.0011359111260905662im,0.9556426135895586 - 0.0011711202809849307im,0.9556023149292062 - 0.0012064514350070708im,0.9555620388616443 - 0.0012417423611330329im,0.955521648953245 - 0.0012769379967133882im,0.9554812425399474 - 0.001312186791954364im,0.9554408440725285 - 0.0013473313723283153im,0.955400403417632 - 0.0013825994990313952im,0.9553600130201536 - 0.001417863877620292im,0.955319676306243 - 0.0014531620677342902im,0.9552793392616762 - 0.0014884200489259998im,0.9552388643744384 - 0.0015236939348965326im,0.9551984077743416 - 0.0015589570567698045im,0.9551580017230281 - 0.0015943075569364654im,0.9551176306202077 - 0.00162952267975233im,0.9550772370290895 - 0.0016648337734584105im,0.9550368314723345 - 0.0017000996196482251im,0.9549981232339617 - 0.0017338067568330455im,0.9549974839421868 - 0.0017343540416627095im,0.9549975601062737 - 0.0017344390323917806im,0.9549976068218474 - 0.001734491213326858im,0.9549976050635768 - 0.00173448949227564im,0.9549975568208635 - 0.0017344364377493877im,0.954997533070532 - 0.001734411376829574im,0.9549975507477284 - 0.0017344323999503083im,0.9549975795542672 - 0.0017344654128231792im,0.9549975056858243 - 0.001734383491054369im,0.9549975242046923 - 0.0017344060626141608im,0.954997479353639 - 0.0017343572821981027im,0.9549974823435935 - 0.0017343616796272631im,0.9549974629972423 - 0.0017343402856967308im,0.9549974267313048 - 0.0017342990429397099im,0.9549973770229373 - 0.0017342432605348336im,0.9549973895182037 - 0.0017342567151956533im,0.9549974146305146 - 0.001734284688570647im
0.9566899496593565 - 0.00025408959890033345im,0.9566495456688389 - 0.0002895000580693479im,0.9566092200695766 - 0.0003248571318146985im,0.956568951015864 - 0.0003602120371355164im,0.9565285431782428 - 0.000395694700477422im,0.9564881641367257 - 0.0004311141042855728im,0.9564479136373771 - 0.0004665934232388049im,0.956407653385001 - 0.0005019461944159588im,0.9563673819927474 - 0.0005373128023864726im,0.9563269836310735 - 0.0005727212218913564im,0.9562866083223484 - 0.0006081344303097783im,0.956246223860064 - 0.000643500855925727im,0.9562058697266811 - 0.0006789165806936im,0.9561655088073732 - 0.0007142755779950763im,0.9561250070201267 - 0.0007496185559849055im,0.9560846500646316 - 0.0007850053734172238im,0.9560442482796131 - 0.0008202673685203524im,0.9560039095386623 - 0.0008556321112617438im,0.9559634800715696 - 0.0008910381435329586im,0.9559230018069163 - 0.0009263982100782142im,0.9558826293816778 - 0.0009617691623486345im,0.9558421811536988 - 0.000997036604948639im,0.9558017021551748 - 0.0010324048529548428im,0.9557611780480856 - 0.0010678179977717719im,0.955720583235071 - 0.0011031047364772866im,0.9556801850278207 - 0.0011384988472167832im,0.9556397133354952 - 0.001173809745440663im,0.9555993131740231 - 0.0012092428749391905im,0.9555589303625935 - 0.0012446317227375087im,0.9555184331955564 - 0.001279929905335567im,0.9554779189973174 - 0.001315277344338867im,0.9554374149725341 - 0.001350521075375087im,0.9553968694210475 - 0.001385890154121428im,0.9553563719814135 - 0.00142125312181413im,0.9553159301518163 - 0.001456650075635134im,0.9552754879423139 - 0.0014920071368272416im,0.9552349086729649 - 0.0015273785595850775im,0.9551943474982452 - 0.0015627408858992875im,0.9551538373902655 - 0.0015981895850991636im,0.9551133576000017 - 0.0016335005717824126im,0.9550728607272819 - 0.0016689091975420917im,0.9550323511017755 - 0.0017042780870066662im,0.9549935392653001 - 0.001738084248190066im,0.9549928896588638 - 0.0017386460113601933im,0.9549929671959516 - 0.001738732466992853im,0.9549930133621649 - 0.00173878405678503im,0.9549930128655708 - 0.0017387836855347078im,0.9549929626634944 - 0.001738728528262251im,0.9549929381001522 - 0.001738702594236571im,0.9549929561714845 - 0.0017387240378181246im,0.9549929855003095 - 0.0017387576099213318im,0.954992909334094 - 0.0017386732221264332im,0.9549929264178303 - 0.0017386942546708914im,0.9549928842947046 - 0.0017386484017404193im,0.954992885439081 - 0.0017386508180927025im,0.9549928653844653 - 0.001738628668459099im,0.9549928247145895 - 0.001738582706602485im,0.9549927729496894 - 0.0017385247172235173im,0.9549927853311312 - 0.0017385380459579592im,0.9549928107961707 - 0.0017385664010027904im
0.9479088051946183 - 0.00016140372261257163im,0.9478980014857941 - 0.00016982274209133709im,0.9478871878879163 - 0.00017820063499320292im,0.9478763966107975 - 0.00018660302701033155im,0.9478655735554207 - 0.0001949957228751055im,0.9478547704738083 - 0.00020341249808972453im,0.947843942430699 - 0.0002118220908930166im,0.9478331193682976 - 0.00022021302228598634im,0.9478223043214257 - 0.0002286079368590257im,0.9478114882422142 - 0.00023700520495719598im,0.9478006756083927 - 0.00024539795601393773im,0.9477898567328958 - 0.00025382443473319664im,0.9477790410457869 - 0.0002622301097738072im,0.947768222154829 - 0.000270643857095345im,0.9477574054110737 - 0.000279059246833588im,0.947746568857521 - 0.00028747489857281703im,0.9477357502997439 - 0.0002958572346565452im,0.9477249183218018 - 0.0003042698749138837im,0.9477141040143912 - 0.00031269104880645815im,0.9477032764255088 - 0.0003211193622217694im,0.9476924483000863 - 0.00032952548589438864im,0.9476816176334146 - 0.00033793526892605426im,0.9476707893380358 - 0.00034634440042889496im,0.9476599449364751 - 0.0003547372109538646im,0.9476491016996714 - 0.0003631199935450491im,0.9476382721682515 - 0.0003715270817039958im,0.9476274418188658 - 0.0003799339832202114im,0.9476166206736102 - 0.0003883190750899493im,0.9476057792888433 - 0.00039670847406035527im,0.9475949437488601 - 0.000405106515986026im,0.9475840896394573 - 0.00041350715828991673im,0.9475732496210412 - 0.00042188980118822844im,0.9475624089413605 - 0.00043026910192905975im,0.9475515672978887 - 0.00043867042075556185im,0.9475407379637139 - 0.0004470822458129491im,0.947529908992069 - 0.0004554814008986037im,0.9475190440777086 - 0.00046388449891351013im,0.9475082283828715 - 0.00047228094105104416im,0.9474973837716634 - 0.0004806746417045126im,0.9474865493773353 - 0.0004890873732734246im,0.9474757093851386 - 0.0004974932765508661im,0.9474648934555824 - 0.0005058988584446961im,0.9474544909928834 - 0.000513968153173753im,0.9474542537623295 - 0.0005141562212951804im,0.9474542644392433 - 0.000514168479577119im,0.9474542743793456 - 0.0005141807236443804im,0.9474542827606293 - 0.0005141901286659015im,0.9474542864880325 - 0.000514193325618793im,0.9474542935401573 - 0.000514201427967799im,0.9474542868269675 - 0.0005141937385739725im,0.9474542900668821 - 0.00051419727394962im,0.9474542897253526 - 0.0005141966072543855im,0.9474542874889258 - 0.0005141942951105034im,0.9474542873373454 - 0.0005141947728344456im,0.9474542941290107 - 0.0005142027444051598im,0.9474543088436046 - 0.0005142194823206762im,0.9474543024476653 - 0.0005142119108104693im,0.9474543074286853 - 0.0005142167555729957im,0.9474543056013442 - 0.000514214816926778im,0.9474543077320742 - 0.0005142172480299271im
0.9494145044148331 - 0.0004413553052130718im,0.9493918559712474 - 0.000460397864891523im,0.9493691155427127 - 0.00047940474194099015im,0.9493464785745012 - 0.0004984412303905754im,0.9493237571622706 - 0.00051742885033737im,0.9493010879160367 - 0.0005364541266641696im,0.9492783873584929 - 0.0005554703322040053im,0.9492556335523584 - 0.0005744325548309196im,0.9492329413008112 - 0.0005934708031206796im,0.9492102535254372 - 0.0006124777239568989im,0.949187597368055 - 0.000631479586679808im,0.9491648698260976 - 0.0006504946558518894im,0.9491421716824001 - 0.000669479724832599im,0.9491194748432223 - 0.0006885226971776122im,0.9490967686267006 - 0.0007075457510975375im,0.9490740365982363 - 0.0007265761486372643im,0.9490513611600409 - 0.0007455776379552154im,0.9490286518139217 - 0.0007645952232127877im,0.9490059388815728 - 0.0007836071685642308im,0.9489831890459698 - 0.0008026952751790956im,0.9489604572201681 - 0.0008218056907598588im,0.948937743519778 - 0.0008408333199349563im,0.9489149837192866 - 0.0008598468871298292im,0.9488922899411881 - 0.0008788339686759139im,0.9488695219165971 - 0.0008978615728323588im,0.9488467754244467 - 0.0009168498413520408im,0.9488240778450086 - 0.0009358545316322266im,0.9488013182980063 - 0.0009548774356429512im,0.9487786150614723 - 0.0009738465601224649im,0.9487558664831599 - 0.000992891028271272im,0.9487331074460921 - 0.0010118916109323893im,0.948710367554448 - 0.0010308719377041338im,0.9486876719208868 - 0.001049864224400396im,0.9486649046376909 - 0.001068860305155677im,0.9486421535333315 - 0.0010878722086001573im,0.9486194548768568 - 0.0011068734318811385im,0.9485966686459402 - 0.0011259013020588145im,0.9485739130485904 - 0.0011449699707012022im,0.9485511598635593 - 0.00116395894036587im,0.9485283661567743 - 0.001182973688936589im,0.9485055858575907 - 0.0012019666637548337im,0.9484828106932811 - 0.0012210022857353578im,0.9484610027896754 - 0.0012392857135876988im,0.9484605792944473 - 0.0012396179690203433im,0.9484605944324567 - 0.0012396356801591887im,0.9484606125774222 - 0.0012396574538141526im,0.9484606066718676 - 0.001239650473747364im,0.9484605893588907 - 0.0012396306533658031im,0.9484606093932847 - 0.0012396535394540447im,0.9484605795055436 - 0.001239621017349363im,0.9484605795998351 - 0.0012396214116593709im,0.9484606094469584 - 0.001239653513699575im,0.9484606229739888 - 0.0012396691355289293im,0.9484606221113138 - 0.0012396688122971874im,0.9484606381979663 - 0.0012396874474168928im,0.9484606271052345 - 0.0012396765376938858im,0.9484606260399813 - 0.0012396740401732305im,0.9484606213020762 - 0.00123966871928486im,0.9484606278830405 - 0.0012396759826097637im,0.9484606191637437 - 0.0012396669547616597im
0.9646388401967599 - 0.00031401625529719465im,0.9646119654520382 - 0.00033643903651000537im,0.964585050486237 - 0.00035888170323215976im,0.9645581799395835 - 0.0003813706081537207im,0.9645312689670049 - 0.00040378054940837666im,0.9645043742723275 - 0.0004261794874740137im,0.9644774528818786 - 0.0004486441635208066im,0.9644504856307243 - 0.00047104521085539175im,0.9644235868093561 - 0.0004935399937264426im,0.9643966378243088 - 0.0005160044592908122im,0.9643697011050567 - 0.0005384870872750046im,0.964342749040374 - 0.0005609477859124825im,0.9643158410053851 - 0.0005834124174201874im,0.9642889213124117 - 0.0006058553420672107im,0.9642619282775335 - 0.0006283398683880009im,0.9642349267182534 - 0.0006508490169336099im,0.96420797493933 - 0.0006732552363906558im,0.9641810479312585 - 0.0006957720080288488im,0.9641541058617501 - 0.0007182698635559779im,0.9641271286127614 - 0.0007407449332643481im,0.9641001305956991 - 0.0007632689942935096im,0.9640731390583229 - 0.0007857130516120984im,0.9640461924817223 - 0.0008081951383095938im,0.9640191895697793 - 0.0008306963167928602im,0.9639921990559766 - 0.0008531581344787095im,0.9639652173254988 - 0.0008755922636752119im,0.9639383066830293 - 0.0008980723562115453im,0.963911285174888 - 0.0009205238973184323im,0.9638843572543851 - 0.0009429565954273575im,0.9638573829148883 - 0.0009654233443851976im,0.9638303482052357 - 0.000987875946961139im,0.9638033827347186 - 0.0010103184235193512im,0.9637764391999174 - 0.0010327578842959416im,0.9637494184858305 - 0.0010551841239079163im,0.9637223976492131 - 0.0010775966758826614im,0.9636953598098188 - 0.0011000362078716344im,0.9636683153341546 - 0.0011225247304085411im,0.9636413439858875 - 0.0011450209887832058im,0.9636143042261486 - 0.0011674531362104005im,0.9635872593508668 - 0.0011899020567800044im,0.9635602693355891 - 0.0012124456788291755im,0.963533259979797 - 0.0012348787917269232im,0.9635075340567418 - 0.0012563043536756907im,0.9635071406290863 - 0.0012566225140780772im,0.9635071496957475 - 0.0012566346455875094im,0.9635071799143352 - 0.0012566706248030622im,0.9635071777432803 - 0.001256667724749667im,0.9635071788053995 - 0.0012566681117501287im,0.9635071771281806 - 0.0012566671259252706im,0.963507186785785 - 0.0012566771634104673im,0.9635071880829303 - 0.001256679228549335im,0.9635071607814234 - 0.0012566488127853906im,0.9635071534155556 - 0.0012566411959825956im,0.9635071697431808 - 0.001256660096588341im,0.9635071795933209 - 0.0012566724894695666im,0.9635072241439687 - 0.0012567232245617197im,0.9635072186353313 - 0.0012567162162648911im,0.9635072188220087 - 0.001256716168831274im,0.9635072212386789 - 0.0012567189128935812im,0.9635072261373067 - 0.0012567245687109562im
0.9452584309236585 - 0.00028008574441294075im,0.9452490902043212 - 0.00028667265745807845im,0.945239733593405 - 0.0002932497559344387im,0.9452303937843524 - 0.0002998388944693761im,0.9452210362578735 - 0.00030641531342948526im,0.9452116935117532 - 0.0003129904136915302im,0.9452023372445449 - 0.00031957789089341707im,0.9451929704173062 - 0.00032614570239722574im,0.9451836179707688 - 0.0003327394282755624im,0.9451742560139976 - 0.0003393180448062205im,0.9451649126080759 - 0.00034590195275553936im,0.9451555501521662 - 0.00035249122570729424im,0.9451461979939194 - 0.0003590703382096676im,0.9451368469002901 - 0.00036566138104877704im,0.9451274852783182 - 0.0003722434128534317im,0.9451181159554957 - 0.0003788325892214141im,0.9451087621026384 - 0.00038540272986201487im,0.9450994004276854 - 0.0003919961767342881im,0.9450900391680528 - 0.00039858144713528676im,0.9450806650131515 - 0.0004051743036030478im,0.9450712963550711 - 0.00041177978615254994im,0.9450619308458341 - 0.0004183621216012855im,0.9450525642034843 - 0.0004249457466107502im,0.9450432004926487 - 0.00043152916438084113im,0.9450338268588987 - 0.0004381072237164006im,0.9450244528048691 - 0.00044468435391391053im,0.9450150945468097 - 0.00045126836705556704im,0.9450057217658349 - 0.0004578443983753255im,0.9449963610946349 - 0.00046441137912809927im,0.9449869805381425 - 0.0004709970983530482im,0.9449776002248756 - 0.000477575032528341im,0.9449682306612477 - 0.00048414908250696227im,0.9449588718568049 - 0.0004907193531029948im,0.9449494869764875 - 0.0004972962721358587im,0.9449401156580085 - 0.0005038728174572091im,0.944930747674892 - 0.0005104494421851229im,0.9449213635913281 - 0.0005170376926826862im,0.9449119910097923 - 0.0005236288798323786im,0.9449026106629101 - 0.000530206670774385im,0.9448932282859512 - 0.0005367878796150179im,0.9448838497350048 - 0.0005433789062433159im,0.9448744642570873 - 0.0005499597064893094im,0.9448655036253987 - 0.0005562611654233185im,0.9448653365581801 - 0.0005563716594421141im,0.9448653380850608 - 0.0005563747599391357im,0.9448653454259501 - 0.0005563849189373484im,0.9448653407417144 - 0.0005563792436906776im,0.9448653372043438 - 0.0005563741777645446im,0.9448653432998697 - 0.0005563820762924142im,0.9448653392338527 - 0.0005563772321684596im,0.9448653390545116 - 0.0005563773492638914im,0.9448653419387082 - 0.0005563805170285709im,0.9448653432333791 - 0.0005563829729002355im,0.9448653447321199 - 0.0005563850829664741im,0.9448653504979782 - 0.0005563925665301073im,0.9448653534915511 - 0.0005563967263234926im,0.9448653498535221 - 0.0005563915767497507im,0.9448653499960958 - 0.0005563914748623838im,0.9448653507506842 - 0.0005563925064664093im,0.9448653507993805 - 0.0005563928421937642im
0.948317196980811 - 0.00014254469776448845im,0.9483065855419639 - 0.0001508543316329427im,0.9482959642371305 - 0.0001591235614818474im,0.9482853643074247 - 0.000167417630263898im,0.9482747339877071 - 0.00017570028367193136im,0.9482641237984242 - 0.0001840087416279389im,0.9482534895921902 - 0.00019230890675390563im,0.9482428597323533 - 0.0002005908069527342im,0.948232237644164 - 0.00020887434527357149im,0.9482216140066737 - 0.00021716188570015667im,0.9482109910492049 - 0.00022544428588834955im,0.9482003654053359 - 0.0002337614317461253im,0.9481897401233773 - 0.0002420600148160976im,0.9481791127139949 - 0.00025036472639294893im,0.948168491081831 - 0.0002586690878506453im,0.9481578457992555 - 0.00026697306790328054im,0.9481472200681096 - 0.0002752444226442098im,0.9481365813772686 - 0.0002835467087727544im,0.9481259592926056 - 0.00029185937955884545im,0.9481153267209216 - 0.000300177255381061im,0.9481046920276252 - 0.00030847096763972635im,0.9480940547258001 - 0.00031677153497123694im,0.9480834218255275 - 0.00032507269153481886im,0.9480727686113325 - 0.0003333565476820276im,0.948062117188603 - 0.00034162772484253495im,0.9480514813880642 - 0.00034992505095255615im,0.948040842902902 - 0.00035822212502252445im,0.9480302154567128 - 0.0003664954014768179im,0.9480195650877264 - 0.00037477427291192773im,0.948008923028873 - 0.0003830622954838951im,0.9479982637957755 - 0.00039135471984648055im,0.9479876163566383 - 0.0003996281039205761im,0.9479769692932353 - 0.0004078986653466799im,0.9479663215011767 - 0.0004161897957392024im,0.9479556853866348 - 0.00042449142231478426im,0.9479450485518167 - 0.00043277990849079805im,0.9479343773956199 - 0.00044107223448006463im,0.9479237558468351 - 0.0004493606674625723im,0.9479131035782128 - 0.00045764375110674167im,0.947902462717723 - 0.0004659482943285907im,0.947891813857685 - 0.00047424550074090115im,0.9478811937451775 - 0.00048254246863257863im,0.9478709715034924 - 0.0004905056541212661im,0.9478707365501365 - 0.0004906954367418065im,0.9478707465860909 - 0.0004907069132411002im,0.9478707560221106 - 0.0004907185089300518im,0.9478707663942031 - 0.000490730214174731im,0.9478707691974236 - 0.0004907324973769877im,0.9478707756536109 - 0.0004907398322835944im,0.9478707687841801 - 0.0004907319713536879im,0.9478707717353908 - 0.0004907351588061285im,0.9478707710055859 - 0.0004907340214756852im,0.9478707683541859 - 0.0004907311127526016im,0.9478707681045722 - 0.0004907315051337574im,0.9478707738439507 - 0.000490738253991841im,0.9478707888846352 - 0.0004907553454227054im,0.9478707833999752 - 0.0004907488322522814im,0.947870789241224 - 0.0004907545587405057im,0.9478707870752046 - 0.0004907522259314218im,0.9478707879664453 - 0.0004907533098471742im
